Date,Year,Month,Sea_Surface_Temperature_C,Atmospheric_Pressure_hPa,Humidity_pct,Wind_Shear_ms,Vorticity_s^-1,Ocean_Depth_m,Proximity_to_Coast_km,Pre_Existing_Disturbance,Cyclone_Formation
9/15/2025,2025,9,30.41,1006.08,71.4,11.94,7.23E-05,747.8,336.75,0,1
10/15/2025,2025,10,32.65,1004.69,73.6,16.3,2.89E-05,3039.3,130.09,1,1
11/15/2025,2025,11,30.18,1007.21,94.3,4.53,7.56E-05,625.4,328.98,1,0
12/15/2025,2025,12,29.87,1006.02,89.3,7.92,3.50E-05,380.7,227.7,0,1
1/15/2025,2025,1,28.75,1005.89,87.1,0.77,6.40E-05,3409.2,58.94,0,0
2/15/2025,2025,2,28.9,1003.19,87.5,5.07,1.64E-05,1049,179.16,0,0
3/15/2025,2025,3,27.53,1003.3,80.6,13.59,7.31E-05,550.5,142.73,0,1
4/15/2025,2025,4,29.94,1011.7,89.3,13.08,3.39E-05,180.3,130.7,1,1
5/15/2025,2025,5,29.04,1006.32,78.1,14.74,8.93E-05,1036.8,136.01,0,0
6/15/2025,2025,6,30.75,1013.56,88.7,13.95,5.08E-05,1642.8,81.03,0,1
7/15/2025,2025,7,27.96,1004.68,78.9,12.74,8.47E-05,2997.9,35.79,0,1
8/15/2025,2025,8,30.84,1003.91,87.9,5.43,8.99E-05,1908.7,124.07,0,1
9/15/2025,2025,9,28.83,1012.85,86.4,0.01,1.77E-05,532,223.34,0,0
10/15/2025,2025,10,28.47,1006.22,85.9,9.76,7.62E-05,3531.1,62.95,0,1
11/15/2025,2025,11,28.62,1005.41,71.8,7.16,3.55E-05,1927.3,182.93,1,1
12/15/2025,2025,12,28.47,1005.1,77.3,15.74,5.48E-05,3317.6,324.41,1,0
1/15/2025,2025,1,26.69,1014.7,89.9,1.22,2.56E-05,197.4,33.71,0,1
2/15/2025,2025,2,29.97,1007.31,81.3,9.21,8.84E-05,871,192.66,0,1
3/15/2025,2025,3,30.13,1010.59,81.6,7.24,0.00010454,3115.4,231.07,1,0
4/15/2025,2025,4,30.73,1013.05,80.3,5.56,7.65E-05,616.1,131.15,0,1
5/15/2025,2025,5,30.05,1009.41,90.2,1.85,5.57E-05,1399.1,213.94,0,0
6/15/2025,2025,6,29.99,1001.22,84.3,12.36,6.06E-05,2038.7,137.42,1,1
7/15/2025,2025,7,27.19,1009.12,80.8,5.76,5.30E-05,3414,334.42,1,0
8/15/2025,2025,8,29.42,1014.19,78.4,7.51,2.80E-05,653.5,48.37,0,1
9/15/2025,2025,9,27.84,1011.84,82,2.36,4.64E-05,1435.6,32.91,0,1
10/15/2025,2025,10,28.87,1008.31,80.8,13.29,8.13E-05,2608.1,240.86,0,1
11/15/2025,2025,11,30.88,1004.23,90,8.92,5.26E-05,1002.8,95.65,0,1
12/15/2025,2025,12,29.24,1012.09,84,9.92,5.24E-05,3475.3,211.38,1,1
1/15/2025,2025,1,26.06,996.92,81.6,5.13,2.96E-05,2322.6,155.52,0,0
2/15/2025,2025,2,28,1013.01,57,8.36,6.73E-05,1214.6,204.76,0,0
3/15/2025,2025,3,28.52,1014.06,82.4,7.19,7.29E-05,1378.4,328.92,1,0
4/15/2025,2025,4,28.93,1002.27,84.8,17.68,4.20E-07,2273.7,298.49,0,1
5/15/2025,2025,5,30.33,1007.6,73.7,15.58,6.63E-05,1863.9,60.14,1,1
6/15/2025,2025,6,30.2,997.25,91.1,14.53,5.96E-05,149.6,46.49,0,1
7/15/2025,2025,7,30.17,1006.73,77.2,7.57,6.19E-05,162.5,46.41,0,0
8/15/2025,2025,8,29.48,1003.75,74.8,7.92,4.84E-05,2110.3,307.54,0,1
9/15/2025,2025,9,28.85,999.79,75.9,5.86,5.02E-05,2764.2,34.96,0,1
10/15/2025,2025,10,28.77,1008.48,77.2,7.2,4.43E-05,3301.5,278.83,0,0
11/15/2025,2025,11,29.72,1016.07,81.3,10.49,4.16E-05,2754,48.75,0,1
12/15/2025,2025,12,30.32,1012.28,79.7,6.53,6.10E-05,2440.8,341.28,0,0
1/15/2025,2025,1,31.06,1004.8,82,7.89,3.19E-05,2411.8,220.55,0,1
2/15/2025,2025,2,29.31,1015.09,79.6,15.01,4.29E-05,1272.9,133.06,0,1
3/15/2025,2025,3,29.55,1012.15,79,5.29,8.60E-05,1118.2,204.99,1,0
4/15/2025,2025,4,30.98,1018.29,67.2,4.34,6.08E-05,1978,267.92,0,1
5/15/2025,2025,5,27.9,1005.54,85,1.35,5.10E-05,3054.7,259.02,0,1
6/15/2025,2025,6,30.19,1012.35,85.5,11.88,9.85E-05,2587.1,122.5,0,0
7/15/2025,2025,7,28.25,1017.58,91.4,15.17,6.10E-05,3450.5,303.73,1,1
8/15/2025,2025,8,31.11,996.63,76,15.02,3.99E-05,102.1,228.6,0,1
9/15/2025,2025,9,30.89,1011.22,87.6,9.11,5.65E-05,3505,332.78,0,1
10/15/2025,2025,10,31.17,1001.11,83.5,5.41,6.72E-05,673.8,96.73,0,1
11/15/2025,2025,11,31.05,1003.62,92,16.73,5.85E-05,2927.3,259.25,0,1
12/15/2025,2025,12,30.21,1007.47,88.8,7.29,6.34E-05,264,78.17,1,0
1/15/2025,2025,1,27.97,1008.91,91.7,8.83,4.25E-05,1742.9,100.86,0,0
2/15/2025,2025,2,29.79,1016.57,84.4,2.58,7.97E-05,1634.2,330.83,1,1
3/15/2025,2025,3,30.27,1008.15,83.2,4.92,2.06E-05,1668.7,247.83,1,1
4/15/2025,2025,4,29.77,1007.08,87.4,8.47,4.77E-05,3390.1,91.12,0,1
5/15/2025,2025,5,29.06,1003.51,92.6,4.53,4.04E-05,1572.4,20.8,1,1
6/15/2025,2025,6,29.39,1001.22,83.1,0.57,7.22E-05,3365.4,104.85,0,1
7/15/2025,2025,7,29.67,1000.7,78.6,2.4,8.94E-05,3052.6,132.89,0,0
8/15/2025,2025,8,27.97,1011.76,85.8,3.73,8.42E-05,2236.6,336.57,0,0
9/15/2025,2025,9,30.01,1002.3,85.2,8.16,5.61E-05,420,276.5,1,0
10/15/2025,2025,10,29.87,1016,75.5,11.49,9.40E-05,285.8,201.55,1,1
11/15/2025,2025,11,29.04,1010.58,76.2,8.89,5.77E-05,2683.4,33.7,1,1
12/15/2025,2025,12,30,1014.14,80.1,10.56,5.31E-05,3341.5,200.08,0,1
1/15/2025,2025,1,30.6,1006.12,80.2,9.82,6.52E-05,2265.5,158.49,0,0
2/15/2025,2025,2,27.98,1015.36,86.4,6.85,7.74E-05,2311.4,153.61,0,0
3/15/2025,2025,3,30.96,1005.17,86.9,5.89,4.52E-05,2699.2,111.68,0,1
4/15/2025,2025,4,30.42,1007.07,77.6,9.47,7.45E-05,1880.1,93.94,0,1
5/15/2025,2025,5,30.41,999.07,75.8,7.9,4.76E-05,1115.8,304.1,0,1
6/15/2025,2025,6,30.4,999.48,74.2,4.97,4.45E-05,2300.6,292.96,1,0
7/15/2025,2025,7,30.06,1003.56,76.8,11.53,6.02E-05,103.4,285.13,0,1
8/15/2025,2025,8,29.2,1009.41,83.8,16.92,1.81E-05,2197.4,168.92,0,1
9/15/2025,2025,9,28.32,1009.1,88.3,4.23,2.71E-05,2173.7,197.96,0,1
10/15/2025,2025,10,29.81,1011.24,84.3,10.22,2.47E-05,2293.6,159.9,0,0
11/15/2025,2025,11,29.36,1008.5,85.2,7.79,1.93E-05,2385.4,158.11,0,1
12/15/2025,2025,12,28.37,998.09,74.1,4.71,8.80E-05,559.3,294.11,0,1
1/15/2025,2025,1,31.31,1004.08,88.9,2.36,7.76E-05,851.2,319.59,0,1
2/15/2025,2025,2,30.21,1004.58,85.2,12.88,7.19E-05,2137.2,312.25,0,1
3/15/2025,2025,3,28.83,1009.6,85.1,8.37,5.97E-05,317.3,263.59,1,1
4/15/2025,2025,4,27.31,1011.5,82.5,0.28,6.80E-05,1337.5,77.24,0,1
5/15/2025,2025,5,28.19,1002.99,85.4,21.97,7.13E-05,1625.8,263.32,0,1
6/15/2025,2025,6,29.79,998.84,83.1,2.6,4.20E-05,1483,288.02,0,1
7/15/2025,2025,7,28.89,1009.54,81.9,9.06,6.49E-05,2223.9,36.56,1,1
8/15/2025,2025,8,27.62,1014.57,92,2.94,1.05E-05,2578.2,15.03,0,0
9/15/2025,2025,9,29.52,1014.64,79.6,10.94,8.74E-05,1489.7,182.65,0,0
10/15/2025,2025,10,29.01,1005.16,84.5,9.31,6.17E-05,2783.9,191.35,1,1
11/15/2025,2025,11,28.72,1005.96,77.7,7.24,5.25E-05,3382.7,53.22,0,1
12/15/2025,2025,12,27.71,1003.66,86.6,10.96,4.45E-05,3010.9,299.45,0,0
1/15/2025,2025,1,29.6,1013.87,79.6,8.91,5.00E-06,1436.2,108.32,1,1
2/15/2025,2025,2,27.91,1006.16,85.5,8.58,4.90E-05,2343.8,323.7,0,1
3/15/2025,2025,3,28.94,1010.89,83.8,7.56,7.30E-05,2999.8,244.41,0,1
4/15/2025,2025,4,30.59,1007.2,77,8.71,6.66E-05,3222.9,29.01,0,1
5/15/2025,2025,5,30.69,1012.08,100.2,10.62,2.74E-05,3520.8,336.1,0,1
6/15/2025,2025,6,29.05,1016.2,79.8,20.6,6.99E-05,3399.3,140.92,1,1
7/15/2025,2025,7,25.5,1006.13,86.8,8.69,9.06E-05,2304.1,261.73,1,0
8/15/2025,2025,8,30.11,1008.44,87.3,7.36,7.83E-05,2606,133.97,0,0
9/15/2025,2025,9,28.09,1006.87,74.5,13.94,8.89E-05,504.6,74.81,1,0
10/15/2025,2025,10,27.53,1006.11,85.1,11.51,7.59E-05,1824.3,120.76,0,0
11/15/2025,2025,11,30.09,1003.21,78.9,9.07,8.12E-05,1141,45.19,0,1
12/15/2025,2025,12,26.98,1000.15,77.3,8.21,3.34E-05,3337,131.67,1,1
1/15/2025,2025,1,30.05,993.27,79.8,10.21,4.47E-05,2863.9,259.59,0,1
2/15/2025,2025,2,30.29,1007.02,108.7,6.31,1.72E-05,208.5,247.29,0,1
3/15/2025,2025,3,29.8,1006.2,86.7,4.47,7.88E-05,659.4,339.43,0,0
4/15/2025,2025,4,29.45,1011.36,78.2,6.33,6.63E-05,1276.8,294.04,0,0
5/15/2025,2025,5,29.07,1005.34,82.8,5.11,6.61E-05,879,82.97,1,1
6/15/2025,2025,6,28.62,997.31,89,3.41,4.80E-05,2876.1,234.89,1,0
7/15/2025,2025,7,27.9,1010.68,92.3,9.91,6.92E-05,1814.4,135.36,1,1
8/15/2025,2025,8,32.04,1019.95,85.9,3.28,3.98E-05,2352.1,251.03,0,0
9/15/2025,2025,9,28.67,1004.7,79.8,3.73,4.98E-05,197.8,235.9,1,0
10/15/2025,2025,10,28.09,1011.38,87.1,5.1,2.42E-05,1055.8,219.22,1,1
11/15/2025,2025,11,29.09,1013.1,76.6,16.38,5.60E-05,2070.5,26.46,0,0
12/15/2025,2025,12,29.89,1001.06,75.6,8.48,3.62E-05,2303.3,85.29,0,1
1/15/2025,2025,1,30.42,1001.75,94.3,3.56,6.77E-05,91,92.27,0,1
2/15/2025,2025,2,28.93,1009.92,75.8,7.04,8.65E-05,3403.1,77.23,0,1
3/15/2025,2025,3,28.97,1003.13,85.4,5.08,2.78E-05,2225.9,21.57,0,1
4/15/2025,2025,4,28.24,999.28,97.4,8.98,4.30E-05,1613,42.63,0,0
5/15/2025,2025,5,28.89,1008.56,89.7,4.89,6.44E-05,1039.2,164.68,1,1
6/15/2025,2025,6,30.24,1019.44,70.2,8.18,4.71E-05,2559,234.17,0,1
7/15/2025,2025,7,29.13,998.27,89,12.61,6.70E-05,2635.3,237.87,1,1
8/15/2025,2025,8,28.76,1002.11,75.1,16.4,6.18E-05,549.2,26.1,0,1
9/15/2025,2025,9,29.41,1009.49,77.7,8.85,3.45E-05,3079.3,109.55,0,1
10/15/2025,2025,10,28.26,1003.45,89.8,15.12,7.29E-05,3319,323.22,0,0
11/15/2025,2025,11,26.61,1004.44,91,0.06,3.11E-05,2403.8,191.28,1,1
12/15/2025,2025,12,28.62,1005.47,89.8,12.3,0.00011982,1689,180.7,1,0
1/15/2025,2025,1,25.61,1004.51,100.5,5.3,6.83E-05,3075.6,256.51,1,0
2/15/2025,2025,2,28.88,1005.44,93,10.41,6.03E-05,1408.6,188.72,0,1
3/15/2025,2025,3,29.69,1003.49,88.9,11.88,5.20E-05,1627.2,25.81,0,1
4/15/2025,2025,4,30.39,1011.25,83.3,4.38,6.72E-05,613.1,160.38,0,1
5/15/2025,2025,5,29.84,1004.56,88.7,10.65,7.62E-05,1193.9,240.62,1,1
6/15/2025,2025,6,29.24,1003.1,98.2,7.43,6.86E-05,2664.8,117.16,0,1
7/15/2025,2025,7,27.97,1007.99,86.7,0.66,1.04E-05,3442.4,141.67,1,1
8/15/2025,2025,8,27.88,1010.75,82,5.97,3.50E-05,2137.1,17.35,0,1
9/15/2025,2025,9,28.95,1008.75,74.9,4.57,6.05E-05,3172,115.12,1,1
10/15/2025,2025,10,28.16,1009.63,81.7,0.07,5.61E-05,588.8,193.79,1,1
11/15/2025,2025,11,28.05,1013.83,92.4,6,6.23E-05,1649.8,94.77,0,1
12/15/2025,2025,12,29.25,995.64,92.1,6.26,3.29E-05,61.5,251.96,0,0
1/15/2025,2025,1,28.18,1000.17,89.4,5.93,2.05E-05,606.2,111.86,1,1
2/15/2025,2025,2,27.02,1001.59,78.4,12.12,7.06E-05,1214.4,43.31,1,0
3/15/2025,2025,3,28.94,999.85,86,13.13,7.93E-05,317.4,259.55,0,0
4/15/2025,2025,4,28.06,1007.53,79.5,7.17,1.73E-05,637.1,263.86,1,1
5/15/2025,2025,5,29.82,1007.16,71.8,9.98,8.13E-05,1590,213.47,1,1
6/15/2025,2025,6,30.75,1013.33,86.8,8.94,7.60E-05,148,37.19,0,0
7/15/2025,2025,7,30.11,1006.02,70.5,15.03,5.89E-05,268.9,208.17,0,0
8/15/2025,2025,8,29.72,1000.31,81.5,8.11,6.82E-05,2532.9,43.14,0,1
9/15/2026,2026,9,30.84,1015.11,86,7.98,4.12E-05,2192.2,76.18,1,1
10/15/2026,2026,10,28.02,1013.79,81.2,6.62,5.81E-05,1927.1,61.74,1,1
11/15/2026,2026,11,28.51,1008.63,84.1,13.39,5.12E-05,856.8,267.51,0,1
12/15/2026,2026,12,29.42,1017.28,90.7,3.06,1.26E-05,1755.4,191.36,0,1
1/15/2026,2026,1,28.73,1023.1,79.8,5.08,3.03E-05,2413.8,53.19,0,1
2/15/2026,2026,2,29.37,1003.89,77.4,3.59,5.58E-05,1205.8,80.49,0,1
3/15/2026,2026,3,28.75,1003.73,98.3,13.84,6.79E-05,2310.9,252.13,0,1
4/15/2026,2026,4,28.89,1011.88,75,16.47,7.55E-05,2584.7,287.71,0,1
5/15/2026,2026,5,28.69,1005.42,93.1,10.5,5.31E-05,639.7,123.6,0,1
6/15/2026,2026,6,30.09,1011.82,64.9,5.77,5.84E-05,3137.7,294.11,0,1
7/15/2026,2026,7,28.98,1011.64,91.4,10.21,2.07E-05,2126.9,250.89,1,1
8/15/2026,2026,8,27.63,1004.23,80.5,2.3,4.05E-05,1795.6,261.99,1,1
9/15/2026,2026,9,29.05,1013.17,84.9,11.46,7.23E-06,1066,256.52,0,0
10/15/2026,2026,10,28.47,1011.67,79.3,18.13,0.00010015,660.8,296.62,0,0
11/15/2026,2026,11,30.93,1005.68,78.5,10.43,1.55E-05,2776.4,250.54,1,0
12/15/2026,2026,12,29.63,1013.57,83.8,9.5,4.94E-05,2403,20.2,0,0
1/15/2026,2026,1,30.72,1024.34,85.2,2.22,7.40E-05,163.5,152.26,0,1
2/15/2026,2026,2,29.33,1011.53,76.6,13.62,8.72E-05,1539.8,278.65,1,0
3/15/2026,2026,3,30.31,999.56,86.8,10.54,2.91E-05,299.7,60.19,1,0
4/15/2026,2026,4,30.12,1005.66,84.7,9.01,4.79E-05,523.4,97.4,1,1
5/15/2026,2026,5,29.87,1004.78,90.5,4.24,5.48E-05,474.7,304.92,0,1
6/15/2026,2026,6,27.11,1002.96,76.2,9.3,6.53E-05,1695.6,148.06,1,1
7/15/2026,2026,7,29.44,1010.46,74.2,1.05,4.00E-05,848,347.58,0,1
8/15/2026,2026,8,30.83,1017.92,90.8,13.5,5.15E-05,3448.1,334.22,0,1
9/15/2026,2026,9,29.22,1008.44,70.2,8.82,6.35E-05,1533.3,20.23,0,1
10/15/2026,2026,10,30.6,1001.74,92.2,7.07,2.30E-05,3206.4,112.39,0,1
11/15/2026,2026,11,28.62,1010.14,85.5,6.82,9.93E-05,440.5,119.16,0,1
12/15/2026,2026,12,28.83,1000.59,81.3,9.57,8.45E-05,3560.1,247.42,0,0
1/15/2026,2026,1,30.03,1012.11,86.4,1.12,2.26E-05,3348.6,75.52,0,1
2/15/2026,2026,2,27.5,1008.47,90.8,9.94,5.18E-05,709.9,131.57,0,0
3/15/2026,2026,3,31.21,1004.23,84.6,0.57,4.79E-05,792.8,170.17,0,1
4/15/2026,2026,4,28.87,1002.86,91.8,8.55,9.74E-05,152.3,281.68,0,0
5/15/2026,2026,5,30.78,1009.51,90.6,8.83,7.41E-05,499.5,332.26,1,1
6/15/2026,2026,6,28.48,1013.66,89.1,3.98,5.31E-05,2893.8,152.83,0,0
7/15/2026,2026,7,30.1,1014.65,74.9,7.55,6.15E-05,782.9,75.62,0,1
8/15/2026,2026,8,28.7,1007.99,71.7,3.84,5.54E-05,3003.1,131.63,0,0
9/15/2026,2026,9,27.35,1008.78,69,11.91,5.99E-05,332,286.39,1,1
10/15/2026,2026,10,28.69,1006.05,75.1,6.73,8.13E-05,1295.7,172.06,0,1
11/15/2026,2026,11,29.06,1001.96,90.1,2.16,7.86E-05,2905.3,162.49,1,1
12/15/2026,2026,12,29.78,1002.6,91.6,4.35,2.50E-05,2243.5,318.65,0,1
1/15/2026,2026,1,28.25,1014.63,82.3,6.97,7.71E-05,1668.6,200.92,0,0
2/15/2026,2026,2,29.82,1003.18,85.1,8.21,3.06E-05,3569.3,338.83,1,1
3/15/2026,2026,3,28.89,1015.56,72.3,8.29,6.72E-05,840.1,298.27,0,1
4/15/2026,2026,4,26.83,1003.81,83.9,12.19,2.63E-05,1374.1,310.91,1,1
5/15/2026,2026,5,30.38,998,76.3,17.09,4.32E-05,1714.9,105.57,0,1
6/15/2026,2026,6,30.49,1003.83,83.1,8.18,8.65E-05,916.9,303.28,0,1
7/15/2026,2026,7,28.77,1008.8,87.3,4.83,4.83E-05,827.4,246.31,0,1
8/15/2026,2026,8,28.98,1006.09,72.6,15.52,7.47E-05,1438.9,320.26,0,1
9/15/2026,2026,9,28.57,1009.93,83.6,15.63,6.74E-05,474.1,275.75,0,1
10/15/2026,2026,10,29.66,1019.03,91.7,4.3,3.94E-05,1836.3,103.16,0,1
11/15/2026,2026,11,28.49,1008.7,80.6,18.39,1.35E-05,2278.7,16.62,0,0
12/15/2026,2026,12,30.2,1006.95,74.1,6.76,6.32E-05,2781.3,182.95,0,1
1/15/2026,2026,1,29.03,1004.29,88.8,11.86,7.03E-05,697.9,181.34,0,0
2/15/2026,2026,2,27.64,1005.77,87.4,0.85,5.76E-05,2098.3,296.53,0,0
3/15/2026,2026,3,30.02,1016.04,79.8,6.61,6.10E-05,3502.7,124.91,1,1
4/15/2026,2026,4,29.76,1013.42,76.8,13.22,4.55E-05,194.9,65.21,0,0
5/15/2026,2026,5,26.98,1016.12,83.5,1.45,6.67E-05,424.2,77.15,1,1
6/15/2026,2026,6,29.42,1008.4,99.2,4.86,2.58E-05,1149.4,248.11,0,0
7/15/2026,2026,7,29.87,1003.63,80,12.29,7.78E-05,249.3,91.44,0,1
8/15/2026,2026,8,29.09,1007.43,78.8,8.79,7.83E-05,1639.5,48.64,0,0
9/15/2026,2026,9,28.62,1005.76,84.3,7.74,5.92E-05,1261.6,126.57,0,1
10/15/2026,2026,10,30.67,1014.93,80.7,6.11,5.27E-05,1283,250.5,0,1
11/15/2026,2026,11,28.41,1011.24,86.8,7.27,3.95E-05,840.3,334.58,0,1
12/15/2026,2026,12,31.29,996.86,71.6,15.62,4.29E-05,1725,237.5,1,1
1/15/2026,2026,1,28.33,1000.63,91.4,7.36,4.76E-05,1053.7,242.95,1,1
2/15/2026,2026,2,30.33,1005.53,85.1,9.63,6.38E-05,2495.5,25.19,1,1
3/15/2026,2026,3,31.37,1016.5,94.4,11.32,6.57E-05,843,256.8,0,1
4/15/2026,2026,4,27.66,1003.33,86,13.34,8.27E-05,3315.9,152.19,0,1
5/15/2026,2026,5,29.77,1007.99,85.6,4.06,2.71E-05,3149.5,286.52,0,1
6/15/2026,2026,6,28.33,1009.28,79,7.91,4.22E-05,2556.9,175.98,0,1
7/15/2026,2026,7,30.16,1009.99,75.8,1.26,6.78E-05,2252.8,63.64,0,0
8/15/2026,2026,8,30.92,1010.4,85.3,11.53,3.00E-05,959.3,247.79,1,1
9/15/2026,2026,9,31.33,1003.98,82.7,0.23,7.22E-05,2138.1,316.21,1,1
10/15/2026,2026,10,30.43,1012.39,79.7,1.07,6.85E-05,913.3,136.24,1,1
11/15/2026,2026,11,28.8,1003.53,87.5,6.31,2.53E-05,1001.6,62.63,0,0
12/15/2026,2026,12,30.07,1012.09,74,8.55,8.17E-05,2280.4,300.41,0,0
1/15/2026,2026,1,32.36,1005.09,77.7,6.13,8.42E-05,3235.7,32.71,0,1
2/15/2026,2026,2,30.71,1004.54,78.9,8.57,7.34E-05,1535.3,24.3,0,1
3/15/2026,2026,3,31.88,1006.64,73.9,9.22,1.04E-05,3192.3,123.93,1,1
4/15/2026,2026,4,30.6,1002.48,77.7,0.41,5.63E-05,772.4,72.22,0,1
5/15/2026,2026,5,27.79,1009.38,71.3,13.98,8.70E-05,1695,57.6,0,0
6/15/2026,2026,6,28.9,1018.3,83,10.32,7.29E-05,1950.6,167.46,0,1
7/15/2026,2026,7,30.08,994.85,96.2,10.44,3.84E-05,2582.7,188.1,0,1
8/15/2026,2026,8,28.1,1009.03,85.3,12.44,5.24E-05,1501.9,191.51,0,0
9/15/2026,2026,9,30.06,994.06,82.8,14.65,7.02E-05,2052.2,190.67,0,0
10/15/2026,2026,10,26.92,1009.28,80.5,1.66,0.00011647,1033.8,218.68,0,0
